"gene_id","cluster"
"Sigmar1",4
"Slc11a1",1
"Slc14a1",1
"Slc15a3",1
"Slc20a2",2
"Slc22a17",4
"Slc22a18",1
"Slc25a19",5
"Slc25a22",5
"Slc25a3",4
"Slc27a4",3
"Slc29a3",2
"Slc35a2",5
"Slc35e4",4
"Slc36a4",2
"Slc39a3",4
"Slc39a7",4
"Slc44a1",1
"Slc6a7",4
"Slc7a10",3
"Slc7a3",5
"Slc9a3r1",5
"Slc9a5",3
"Slc9a9",1
"Slfn8",1
"Smarce1",3
"Smc5",2
"Smc6",2
"Smdt1",3
"Smim12",5
"Smim30",4
"Smim45",5
"Smpd1",5
"Smyd3",1
"Snrpb",4
"Snx15",5
"Sox4",3
"Sp100",1
"Spag6",1
"Spata13",1
"Spata7",2
"Spr",5
"Spryd3",4
"Srp19",3
"Ssr2",4
"Stat1",1
"Stat6",1
"Stk32c",5
"Stmn3",3
"Stub1",4
"Stxbp2",1
"Stxbp3",2
"Supt16",2
"Surf2",2
"Svop",4
"Syngr3",5
"Syp",4
"Syt13",5
"Szrd1",4
"Tab2",2
"Taf15",4
"Tango2",3
"Tap2",1
"Tbc1d10a",3
"Tceal5",4
"Tdg",3
"Tdrd6",2
"Tent5c",1
"Tesk1",5
"Tfcp2l1",1
"Tgfbr1",1
"Tgfbr3",1
"Thbd",5
"Thbs2",1
"Thy1",5
"Tifa",2
"Timm10",4
"Tjp2",2
"Tlcd3b",5
"Tlk1",2
"Tlnrd1",3
"Tlr1",2
"Tlr13",1
"Tlr2",1
"Tlr3",2
"Tm7sf2",4
"Tma16",2
"Tmc3",1
"Tmed9",4
"Tmem106b",2
"Tmem115",3
"Tmem127",4
"Tmem132a",3
"Tmem147",5
"Tmem151b",5
"Tmem161a",4
"Tmem179",4
"Tmem191c",4
"Tmem192",2
"Tmem198",5
"Tmem208",5
"Tmem240",4
"Tmem243",2
"Tmem259",5
"Tmem35a",5
"Tmem59l",4
"Tmf1",2
"Tmsb15b2",3
"Tnfrsf1a",1
"Tnpo2",4
"Tomm20",2
"Tomm40l",5
"Tram1l1",4
"Trappc12",2
"Trem2",1
"Treml2",1
"Trim12a",2
"Trim25",1
"Trim30d",1
"Trim62",3
"Trim8",5
"Tsen34",4
"Tsfm",5
"Tspyl1",4
"Tspyl4",4
"Ttyh3",5
"Tubb2a",4
"Tubb3",4
"Tubgcp2",2
"Tufm",3
"Txn2",5
"Txndc15",3
"U2af2",3
"Uba7",1
"Ubald1",5
"Ubb",5
"Ubb-ps",4
"Ube2b",5
"Ube2s",3
"Ubl4a",3
"Ufl1",2
"Umps",3
"Uqcc2",4
"Uqcr11",4
"Uqcrq",4
"Usp21",3
"Usp5",4
"Usp7",2
"Vapb",4
"Vav1",1
"Vim",1
"Vmn1r90",1
"Vopp1",5
"Vps33a",2
"Vps37d",4
"Vwa5a",1
"Vwf",1
"Wbp1",5
"Wdr18",4
"Wnt7a",3
"Wwox",2
"Wwp1",2
"Xaf1",1
"Ydjc",4
"Yipf3",5
"Ypel3",3
"Ypel4",5
"Ywhag",5
"Zc3h14",2
"Zc3hav1",1
"Zfp160",2
"Zfp268",1
"Zfp292",2
"Zfp385a",4
"Zfp428",5
"Zfp444",5
"Zfp788",2
"Zfp940",2
"Zfp974",2
"Zfp995",2
"Zfta",4
"Zkscan5",2
"Zkscan8",1
"Zmynd11",2
"Znrf1",5
"Zwilch",1
