"gene_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1700010I14Rik","1700010I14Rik",17.4972576821419,-0.00706237985190693,0.0544393272374879,NA,0.392430650766257,NA
"1700016K19Rik","1700016K19Rik",25.4052312454907,0.00159513428721382,0.0525266046651993,NA,0.849605054116005,NA
"1700016P03Rik","1700016P03Rik",36.3686296821719,-0.000376798679091784,0.0536040633778144,NA,0.95753054480455,NA
"1700017B05Rik","1700017B05Rik",233.636354904052,0.00840027398347435,0.040173759772248,NA,0.59925740873422,0.930463488534239
"1700018L02Rik","1700018L02Rik",12.8929577617839,0.00571461568458238,0.0553440380928797,NA,0.398071459906946,NA
"1700019D03Rik","1700019D03Rik",322.755257999682,0.00530034444241452,0.0410626534008358,NA,0.732241612158889,0.958987147459642
"1700025G04Rik","1700025G04Rik",1444.76860250207,-0.00345467399626042,0.031868330184963,NA,0.821457914536587,0.972409312321691
"1700028E10Rik","1700028E10Rik",22.4799541153214,-0.00389632703749218,0.0526029727534212,NA,0.657853803464911,NA
"1700028K03Rik","1700028K03Rik",17.8756808383505,0.0123193594972713,0.0579542504794494,NA,0.156458173772889,NA
"1700029I15Rik","1700029I15Rik",19.6147687184832,-0.0078798552257992,0.0545610380127598,NA,0.357056560370538,NA
"1700029J07Rik","1700029J07Rik",92.2807342238555,-0.000215944571524748,0.0467561199192921,NA,0.986821025783509,NA
"1700030J22Rik","1700030J22Rik",108.710601534287,-0.021936920894352,0.0557602645222788,NA,0.143446200710996,NA
"1700030K09Rik","1700030K09Rik",129.014467094623,-0.0130314417151101,0.047101484147841,NA,0.393740677929017,NA
"1700034H15Rik","1700034H15Rik",51.0625740243828,0.0111704886085851,0.0536802374417591,NA,0.304158135031273,NA
"1700037C18Rik","1700037C18Rik",54.9804085860736,-0.00274857719424791,0.0490644029845599,NA,0.814411261267288,NA
"1700037H04Rik","1700037H04Rik",570.252092283443,-0.0309721588239223,0.0487980924937085,NA,0.122806033095497,0.610737735558938
"1700040D17Rik","1700040D17Rik",12.5170164584749,-0.00144516439858455,0.054377053954504,NA,0.816800753753528,NA
"1700047M11Rik","1700047M11Rik",296.728777506465,-0.00554403131800861,0.0432490708961021,NA,0.711654992102863,0.957214323476484
"1700048O20Rik","1700048O20Rik",137.120441761812,0.0119854325145431,0.049406709878049,NA,0.388972953773135,NA
"1700052K11Rik","1700052K11Rik",122.241334297435,0.0140053262694274,0.0494680553711365,NA,0.337309214314588,NA
"1700056N10Rik","1700056N10Rik",17.8720194670634,-0.00435448870565351,0.0531160460924907,NA,0.604802481704309,NA
"1700063D05Rik","1700063D05Rik",52.4344032367472,0.004003205574041,0.0517814416808696,NA,0.677575030496949,NA
"1700066M21Rik","1700066M21Rik",561.594031340923,9.83045697258567e-06,0.0361595739580342,NA,0.99949904243568,0.999823741931441
"1700086L19Rik","1700086L19Rik",355.410318234897,-0.0211163205958568,0.0468042424552378,NA,0.233343211905551,0.750119443979593
"1700086O06Rik","1700086O06Rik",57.6011822134873,-0.0154122951430109,0.0537247011629948,NA,0.232435004346401,NA
"1700087I21Rik","1700087I21Rik",181.093563000794,0.013566091267314,0.047257119391398,NA,0.377756736134632,0.852026512554578
