"gene_id","rsq","cluster"
"Pou3f3",NA,3
"Ppl",NA,1
"Ppp1r16a",NA,4
"Ppp1r21",NA,2
"Ppp1r3b",NA,1
"Ppp1r3g",NA,5
"Ppp1r7",NA,1
"Ppp2r3a",NA,2
"Ppp2r5b",NA,4
"Ppp4c",NA,5
"Ppt1",NA,2
"Prkaa2",NA,1
"Prkcsh",NA,5
"Pros1",NA,1
"Prrt3",NA,5
"Prune2",NA,2
"Psat1",NA,2
"Psmb5",NA,3
"Ptov1",NA,5
"Ptpa",NA,4
"Ptpn6",NA,1
"Ptprc",NA,1
"Pycrl",NA,5
"Pygo2",NA,5
"R3hcc1l",NA,1
"Rab15",NA,5
"Rab1b",NA,4
"Rab28",NA,5
"Rab3a",NA,5
"Rab5c",NA,4
"Rab8b",NA,1
"Rabl6",NA,5
"Rac2",NA,1
"Rad50",NA,2
"Raf1",NA,3
"Rangap1",NA,4
"Rasgrf1",NA,1
"Rasgrp3",NA,1
"Rasl10b",NA,4
"Rbm42",NA,4
"Rcbtb1",NA,1
"Rell2",NA,5
"Rex1bd",NA,4
"Rft1",NA,1
"Rgs20",NA,3
"Rgs4",NA,3
"Rhbdl1",NA,3
"Rimklb",NA,3
"Rims3",NA,4
"Rims4",NA,5
"Ring1",NA,4
"Riok3",NA,2
"Riox1",NA,3
"Rita1",NA,4
"Rnd1",NA,4
"Rnf112",NA,5
"Rnf167",NA,3
"Rnf187",NA,5
"Rnf207",NA,1
"Rnf213",NA,1
"Rnf5",NA,5
"Rplp1",NA,4
"Rprml",NA,4
"Rps19bp1",NA,4
"Rps2",NA,4
"Rps6ka1",NA,2
"Rps6kl1",NA,3
"Rsad2",NA,2
"Rtl8b",NA,5
"Rtn2",NA,4
"Rtp4",NA,1
"Rusc1",NA,3
"Rxrb",NA,4
"Ryk",NA,2
"S100a4",NA,2
"Samd9l",NA,1
"Samm50",NA,4
"Saysd1",NA,4
"Sbf2",NA,1
"Scamp5",NA,4
"Scn2b",NA,5
"Scn7a",NA,1
"Scrt1",NA,5
"Sebox",NA,3
"Sec14l5",NA,1
"Sec61a1",NA,5
"Secisbp2l",NA,2
"Sema3f",NA,3
"Sema7a",NA,5
"Serf2",NA,4
"Serinc3",NA,1
"Serpina3n",NA,2
"Serpinh1",NA,5
"Sft2d2",NA,1
"Sgip1",NA,2
"Sh2b1",NA,5
"Sh3bp5l",NA,4
"Sh3glb1",NA,2
"Sh3glb2",NA,4
"Shld2",NA,2
"Sigmar1",NA,4
"Slc11a1",NA,1
"Slc14a1",NA,1
"Slc15a3",NA,1
"Slc20a2",NA,2
"Slc22a17",NA,4
"Slc22a18",NA,1
"Slc25a19",NA,5
"Slc25a22",NA,5
"Slc25a3",NA,4
"Slc27a4",NA,3
