"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.0112132618098901,23,53,2,0.0377358490566038,0.0869565217391304,"GO:0035455","GO:BP","response to interferon-alpha",25907,8977,"GO:0034097"
"query_1",TRUE,0.0113966437141172,218,53,4,0.0754716981132075,0.018348623853211,"GO:0030595","GO:BP","leukocyte chemotaxis",25907,6824,"GO:0050900;GO:0060326"
"query_1",TRUE,0.0115139599198948,219,53,4,0.0754716981132075,0.0182648401826484,"GO:0097529","GO:BP","myeloid leukocyte migration",25907,18446,"GO:0050900"
"query_1",TRUE,0.012170273346698,1034,53,8,0.150943396226415,0.00773694390715667,"GO:2000145","GO:BP","regulation of cell motility",25907,25054,"GO:0040012;GO:0048870;GO:0050794"
"query_1",TRUE,0.012170273346698,223,53,4,0.0754716981132075,0.0179372197309417,"GO:0002685","GO:BP","regulation of leukocyte migration",25907,1201,"GO:0002682;GO:0030334;GO:0050900"
"query_1",TRUE,0.0128281951146782,25,53,2,0.0377358490566038,0.08,"GO:0072677","GO:BP","eosinophil migration",25907,17261,"GO:0097530"
"query_1",TRUE,0.0134787704181184,395,53,5,0.0943396226415094,0.0126582278481013,"GO:0007159","GO:BP","leukocyte cell-cell adhesion",25907,2710,"GO:0098609"
"query_1",TRUE,0.0136999442873198,26,53,2,0.0377358490566038,0.0769230769230769,"GO:0031643","GO:BP","positive regulation of myelination",25907,7213,"GO:0031641;GO:0031646;GO:0042552;GO:0048522"
"query_1",TRUE,0.0143148155175555,107,53,3,0.0566037735849057,0.0280373831775701,"GO:1990266","GO:BP","neutrophil migration",25907,24693,"GO:0097530"
"query_1",TRUE,0.0143148155175555,27,53,2,0.0377358490566038,0.0740740740740741,"GO:0098581","GO:BP","detection of external biotic stimulus",25907,18549,"GO:0009595;GO:0043207"
"query_1",TRUE,0.0143148155175555,7443,53,26,0.490566037735849,0.00349321510143759,"GO:0023052","GO:BP","signaling",25907,6607,"GO:0050789"
"query_1",TRUE,0.0143148155175555,27,53,2,0.0377358490566038,0.0740740740740741,"GO:0045730","GO:BP","respiratory burst",25907,11410,"GO:0008152"
"query_1",TRUE,0.0143148155175555,107,53,3,0.0566037735849057,0.0280373831775701,"GO:0008630","GO:BP","intrinsic apoptotic signaling pathway in response to DNA damage",25907,3204,"GO:0006974;GO:0097193"
"query_1",TRUE,0.0149292516528854,7475,53,26,0.490566037735849,0.00347826086956522,"GO:0007154","GO:BP","cell communication",25907,2705,"GO:0009987"
"query_1",TRUE,0.0149292516528854,608,53,6,0.113207547169811,0.00986842105263158,"GO:0097190","GO:BP","apoptotic signaling pathway",25907,18294,"GO:0006915;GO:0007165"
"query_1",TRUE,0.0149292516528854,28,53,2,0.0377358490566038,0.0714285714285714,"GO:0090023","GO:BP","positive regulation of neutrophil chemotaxis",25907,17722,"GO:0030593;GO:0071624;GO:0090022;GO:1902624"
"query_1",TRUE,0.0149292516528854,834,53,7,0.132075471698113,0.00839328537170264,"GO:0046649","GO:BP","lymphocyte activation",25907,12121,"GO:0045321"
"query_1",TRUE,0.0149292516528854,1081,53,8,0.150943396226415,0.00740055504162812,"GO:0040012","GO:BP","regulation of locomotion",25907,9809,"GO:0040011;GO:0050789"
"query_1",TRUE,0.0153836018347592,615,53,6,0.113207547169811,0.00975609756097561,"GO:0050865","GO:BP","regulation of cell activation",25907,13141,"GO:0001775;GO:0050794;GO:0051239"
"query_1",TRUE,0.0157281837606975,29,53,2,0.0377358490566038,0.0689655172413793,"GO:0002438","GO:BP","acute inflammatory response to antigenic stimulus",25907,959,"GO:0002437;GO:0002526"
"query_1",TRUE,0.0157281837606975,29,53,2,0.0377358490566038,0.0689655172413793,"GO:0002478","GO:BP","antigen processing and presentation of exogenous peptide antigen",25907,999,"GO:0019884;GO:0048002"
"query_1",TRUE,0.0166908496723899,1655,53,10,0.188679245283019,0.00604229607250755,"GO:0048585","GO:BP","negative regulation of response to stimulus",25907,12689,"GO:0048519;GO:0048583;GO:0050896"
"query_1",TRUE,0.0168513285682946,1957,53,11,0.207547169811321,0.0056208482370976,"GO:0023056","GO:BP","positive regulation of signaling",25907,6608,"GO:0023051;GO:0023052;GO:0048518"
"query_1",TRUE,0.0168513285682946,1957,53,11,0.207547169811321,0.0056208482370976,"GO:0010647","GO:BP","positive regulation of cell communication",25907,4276,"GO:0007154;GO:0010646;GO:0048522"
"query_1",TRUE,0.0170843304396089,12715,53,37,0.69811320754717,0.00290994887927644,"GO:0050794","GO:BP","regulation of cellular process",25907,13090,"GO:0009987;GO:0050789"
"query_1",TRUE,0.0173523759405455,255,53,4,0.0754716981132075,0.0156862745098039,"GO:0016064","GO:BP","immunoglobulin mediated immune response",25907,5070,"GO:0019724"
"query_1",TRUE,0.0173523759405455,31,53,2,0.0377358490566038,0.0645161290322581,"GO:0071624","GO:BP","positive regulation of granulocyte chemotaxis",25907,16573,"GO:0002690;GO:0071621;GO:0071622"
"query_1",TRUE,0.0180033053694213,258,53,4,0.0754716981132075,0.0155038759689922,"GO:0006959","GO:BP","humoral immune response",25907,2579,"GO:0006955"
"query_1",TRUE,0.0188717378453524,1,53,1,0.0188679245283019,1,"GO:0034443","GO:BP","negative regulation of lipoprotein oxidation",25907,8573,"GO:0034442;GO:0042161;GO:0050748"
"query_1",TRUE,0.0188717378453524,1,53,1,0.0188679245283019,1,"GO:0060588","GO:BP","negative regulation of lipoprotein lipid oxidation",25907,14557,"GO:0034439;GO:0034443;GO:0045833;GO:0060587"
"query_1",TRUE,0.0188717378453524,1,53,1,0.0188679245283019,1,"GO:0110090","GO:BP","positive regulation of hippocampal neuron apoptotic process",25907,19145,"GO:0043525;GO:0110088;GO:0110089"
"query_1",TRUE,0.0207130774868245,451,53,5,0.0943396226415094,0.0110864745011086,"GO:0002757","GO:BP","immune response-activating signaling pathway",25907,1266,"GO:0002253;GO:0002764"
"query_1",TRUE,0.020905489031188,128,53,3,0.0566037735849057,0.0234375,"GO:0050868","GO:BP","negative regulation of T cell activation",25907,13144,"GO:0042110;GO:0050863;GO:0051250;GO:1903038"
"query_1",TRUE,0.020905489031188,128,53,3,0.0566037735849057,0.0234375,"GO:0002698","GO:BP","negative regulation of immune effector process",25907,1214,"GO:0002252;GO:0002683;GO:0002697"
"query_1",TRUE,0.0211105176066494,35,53,2,0.0377358490566038,0.0571428571428571,"GO:0019884","GO:BP","antigen processing and presentation of exogenous antigen",25907,6030,"GO:0019882"
"query_1",TRUE,0.0220804651655256,36,53,2,0.0377358490566038,0.0555555555555556,"GO:0090022","GO:BP","regulation of neutrophil chemotaxis",25907,17721,"GO:0030593;GO:0071622;GO:1902622"
"query_1",TRUE,0.0220804651655256,131,53,3,0.0566037735849057,0.0229007633587786,"GO:0050830","GO:BP","defense response to Gram-positive bacterium",25907,13116,"GO:0042742"
"query_1",TRUE,0.023041009069562,134,53,3,0.0566037735849057,0.0223880597014925,"GO:0050729","GO:BP","positive regulation of inflammatory response",25907,13057,"GO:0006954;GO:0031349;GO:0032103;GO:0050727"
"query_1",TRUE,0.023041009069562,37,53,2,0.0377358490566038,0.0540540540540541,"GO:0006958","GO:BP","complement activation, classical pathway",25907,2578,"GO:0002455;GO:0006956"
"query_1",TRUE,0.023041009069562,37,53,2,0.0377358490566038,0.0540540540540541,"GO:0009595","GO:BP","detection of biotic stimulus",25907,3512,"GO:0009607;GO:0051606"
"query_1",TRUE,0.0240517997126751,38,53,2,0.0377358490566038,0.0526315789473684,"GO:1902624","GO:BP","positive regulation of neutrophil migration",25907,22090,"GO:0002687;GO:1902622;GO:1990266"
"query_1",TRUE,0.024955660823309,1480,53,9,0.169811320754717,0.00608108108108108,"GO:0051094","GO:BP","positive regulation of developmental process",25907,13316,"GO:0032502;GO:0048518;GO:0050793"
